artist,song,id,key,mode,loudness,danceability,valence,tempo,instrumentalness,liveness,energy
Wolfgang Amadeus Mozart,"String Quartet No. 7 in E-Flat Major, K. 160: II. Un poco adagio",5t07AiU1Emzrxz4zfNpcAi,8,1,-23.712,0.193,0.0539,91.135,0.539,0.24600000000000002,0.0571
The Gentleman Losers,Oblivion's Tide,6008tp5z9Xk12S7E6zqEik,5,1,-44.227,0.17,0.0175,126.161,0.986,0.22899999999999998,0.298
Gramatik,Orchestrated Incident,3ktye8UiJXiXHbp1Elonn6,7,0,-7.2139999999999995,0.653,0.252,97.375,0.0543,0.0785,0.852
Soda Stereo,Imágenes Retro - Me Verás Volver Gira 2007,3ANCmPnNk0WBxNgBrBpLsp,0,1,-4.881,0.581,0.5,127.294,0.00907,0.275,0.9209999999999999
The Hit Nation,The Hula Hoop Song (Instrumental Version),5DMwh7tG3t58njjAqi060R,5,0,-12.367,0.763,0.784,141.974,0.0782,0.0892,0.555
Ensiferum,In My Sword I Trust,54eGNQCFTHq0q9dCCsPe4P,11,0,-4.821000000000001,0.276,0.11,104.89399999999999,0.0156,0.0987,0.992
Nero,Sfiorarti,2rYtma6Ik6a3WF3DuliASs,0,1,-9.586,0.608,0.42,150.42,0.000949,0.12300000000000001,0.511
Sukhi Chand,Desi Thumke,2V1n9zRMHqeta7qLegCxdb,6,0,-3.465,0.705,0.6729999999999999,129.327,0.614,0.325,0.9520000000000001
Ramon Tapia,Masquarade Part 2,0RYJTqlz0jlUOt4qefAEty,6,0,-8.671,0.7979999999999999,0.244,126.023,0.8490000000000001,0.0852,0.855
Finnolia Sound Effects,Metro Station Ambience (Version 2) [Subway Train Underground Tube People] [Background Ambient Noise Sound Effect],2hSHOqXmZLT9vXcE8EiQqK,1,1,-21.153000000000002,0.215,0.0245,111.661,0.98,0.718,0.961
Hanover Saints,78 Cheat,4Wo88x7yfjNM4rOpEjj6ha,11,1,-3.859,0.43,0.35200000000000004,117.01700000000001,0.00161,0.16399999999999998,0.968
Frank Zappa,"What's New In Baltimore? - Live In New York City, 1984",5jwlmvlfdXdItRsfSiddN2,1,0,-7.308,0.36200000000000004,0.48200000000000004,157.899,0.0785,0.7559999999999999,0.821
Jimmy Smith,Grabbin Hold,1FXe2Jvu6P13dgcoZaHY4M,5,0,-15.475999999999999,0.652,0.6459999999999999,128.179,0.12300000000000001,0.0676,0.436
Björk,Sweet Intuition (feat. Black Dog),2ea2pO24G8R8bg6SSIDEMM,7,1,-10.302,0.815,0.055,97.991,0.0138,0.172,0.457
Gordon Bok,"Loni (feat. Will Brown, Matt Szostak, Kat Logan, Jim Loney, Anne Dodson, David Dodson)",3Pw9ChWNG8NDsG8blYuwLk,10,1,-15.255999999999998,0.41100000000000003,0.308,138.80200000000002,0.00847,0.115,0.215
Falco,Der Kommissar - Falco Symphonic Radio Edit,0JJ1gebhfZTKXvhJDVfPE2,2,1,-4.655,0.8390000000000001,0.9359999999999999,120.055,0.124,0.182,0.929
The Karaoke Channel,Redemption Song (Acoustic Version) (in the style of Bob Marley & The Wailers) (Demonstration Version - includes lead singer),6nQvA8s5zoctxaxKTJFwy8,7,1,-12.728,0.643,0.37,115.90799999999999,0.0,0.109,0.14300000000000002
George Lenton,Someshine,0qefjNxmdHYQU09PsLAVVz,0,0,-10.78,0.638,0.358,140.03799999999998,0.41,0.152,0.758
The Byrds,Lazy Days - Alternate Version,5ivYBymfJggUhpRPDmcy54,9,1,-7.539,0.657,0.94,77.178,0.00020299999999999997,0.22899999999999998,0.866
Tech N9ne,Get The F**k Outta Here,5k0VRc22Qh0SsNlQUCoELN,1,0,-5.571000000000001,0.748,0.27399999999999997,144.026,0.0,0.39399999999999996,0.762
Starlite Unlimited,Peace In Our Life (Theme From Rambo 2),56oEvWExLyh2zhBHPkZvmj,4,0,-14.737,0.575,0.19399999999999998,87.76100000000001,0.35,0.0624,0.28300000000000003
Ramin Djawadi,Victory Does Not Make Us Conquerors,2Wjg6h9EkP8BMpopYD6Iq0,0,1,-27.026,0.162,0.0383,109.59200000000001,0.84,0.106,0.0241
Steve Jablonsky,First Transmission,0PhZXGfqyihtnmh4herqBZ,2,1,-18.570999999999998,0.649,0.0454,134.998,0.797,0.0739,0.34
The Kicks,Hawk Eyes,2BK4l09aPafX8i3rC2I4xF,0,0,-3.609,0.515,0.6629999999999999,127.955,0.0,0.21,0.934
Marsis,Sevduğum,5iGDPjKwzSwRo8IpP7QFvU,9,0,-10.799000000000001,0.42,0.21,159.999,2.8300000000000003e-05,0.213,0.395
African Head Charge,Mysterious Happenings,7ele6G3GHrH9DbWCHRkAsF,7,1,-9.701,0.7490000000000001,0.5770000000000001,106.249,0.149,0.10300000000000001,0.667
Rick James,Lovin' You Is A Pleasure,0HvCAa2pvpudAz7bELflGc,1,1,-5.827999999999999,0.705,0.88,123.889,5.4600000000000006e-05,0.0893,0.87
Sigur Rós,Samskeyti - Live,06rj4rkxaW0D67vtmQLIg1,3,1,-10.8,0.34600000000000003,0.0485,78.847,0.9009999999999999,0.0858,0.39299999999999996
Ragnar Bjerkreim,Peace Theme - Piano Version,3qTfvj0gac8ujF9lUMKeVk,0,0,-18.243,0.545,0.24100000000000002,123.99700000000001,0.872,0.122,0.258
Boys from Patagonia,Rimini 80,0Zrcp1AVqCUL3IA4X5KPgU,7,1,-10.357999999999999,0.617,0.619,103.015,0.847,0.6679999999999999,0.857
El Chojin,C.h.o.j.i.n.,3MztI1zsbSzWbSkIxYpaVy,6,1,-7.11,0.665,0.9690000000000001,92.382,0.0,0.309,0.738
Ice Mc,Think About The Way - Instrumental Without Backing Vocals,7wpMU8ixKVOkgtXLGueFGV,2,0,-6.242999999999999,0.696,0.551,132.952,0.8959999999999999,0.107,0.872
Olly Murs,What a Buzz,4DoACa4cVlarbVmJGEL07X,6,1,-5.093,0.764,0.943,121.008,7.64e-06,0.15,0.934
Andrés Calamaro,Porque soy así,6vJgfkZcUVTPA7YjChGumJ,2,1,-10.127,0.5670000000000001,0.19,82.514,0.00256,0.256,0.38799999999999996
Willie Colón,Homenaje A Héctor Lavoe,45tHvom9mo4PXVHZ8LbHlU,2,1,-8.929,0.526,0.364,93.625,2.51e-05,0.0858,0.857
Kleenex,Eisiger Wind,0U4n1Mzq4oGOW7pPyUvsKl,6,1,-7.188,0.33,0.292,156.628,0.0265,0.467,0.971
Alex Matos,El Cariño Es Como Una Flor,6yuoklhdzlYi8fFR0AQ6s5,2,0,-3.397,0.721,0.914,99.594,0.000143,0.0197,0.912
David Bisbal,Diez Mil Maneras,0bozYJjedwJwsvg7WWrWnX,0,1,-4.6419999999999995,0.6509999999999999,0.718,153.958,0.0,0.0921,0.82
The Contribution,Steady Ride,0Jz0xjsxTbj37MhWDO4MOX,7,1,-5.932,0.433,0.713,77.955,6.27e-06,0.0889,0.7759999999999999
Miles Davis,Red China Blues,0AEXHSEdAohlHhYIt6tcUf,5,1,-8.843,0.434,0.409,105.185,0.10400000000000001,0.8079999999999999,0.6859999999999999
Brazzaville,Deng Xiaoping,4B0lR4URWdc7FjY8rRG8PX,0,1,-6.473,0.7040000000000001,0.747,77.399,0.00027,0.122,0.725
Swedish Chamber Orchestra,"Little Serenade, Op. 12: III. Allegro vivace",60x7UixT1R4iFh2FtgmbcS,0,1,-18.910999999999998,0.33799999999999997,0.409,101.427,0.9470000000000001,0.262,0.20600000000000002
Barbra Streisand,Some Other Time - Orchestra Version,1qpPaB5If6n8k454ctDI6v,8,1,-16.259,0.265,0.182,177.71200000000002,0.0038799999999999998,0.114,0.141
Wolfgang Amadeus Mozart,"String Quartet No.8 in F, K.168: 1. Allegro",0ROREWlXMUIrBigLYSVTkX,5,1,-21.058000000000003,0.33,0.171,73.782,0.8540000000000001,0.185,0.107
Sweet Talks,Eyi Su Ngaangaa,5JbtzhsX0pEbm4K9w2tQxq,2,1,-5.599,0.4,0.894,97.541,0.153,0.306,0.9420000000000001
A Wilhelm Scream,"Pardon Me, Thanks A Lot",44Q9PwAfGmz4SR9jiiQnPG,4,1,-4.323,0.501,0.733,122.491,8.05e-05,0.28600000000000003,0.995
Entre Rios,Cerca & Extraño,5BcDDV5WOArjYvzZqS2aGF,5,1,-10.292,0.599,0.151,215.91299999999998,0.21100000000000002,0.10300000000000001,0.289
The Space Tour Cast,Stutter (feat. Joseph Walker),0ClVgNXpPGrrvmQyppo1VD,11,1,-9.575,0.391,0.626,120.971,0.0,0.41100000000000003,0.6709999999999999
Neon Trees,Girls And Boys In School,1RX6K9yQuBugl1sgU5oIUO,6,0,-4.971,0.541,0.51,123.994,0.0491,0.106,0.782
The Latin Project,Legal (feat. Kool Kojak and Debi Nova),0p0v5UWD0e8o4gv6q9xYPD,7,1,-7.572,0.784,0.735,89.976,0.0794,0.10800000000000001,0.7070000000000001
Jason Aldean,If She Could See Me Now,5lIyZPP3F45TStqOXwgg8v,7,0,-5.334,0.632,0.444,120.06200000000001,2.14e-06,0.153,0.866
Caribou,Silver Splinters,5kozJ49tH13oMdqbcJ1qAR,10,0,-11.288,0.6829999999999999,0.0332,139.423,0.858,0.0931,0.513
Holly Drummond,Girl That You Don't Know,7170JkWWPODmLjXiqwMrt9,9,0,-11.744000000000002,0.5710000000000001,0.534,119.95299999999999,0.0,0.153,0.317
Eskimo Callboy,#elchtransformer,2yEn3iNYCoqIkL2MxHMmFM,7,1,-18.23,0.705,0.27,130.613,0.0,0.22,0.255
Cheb Wahid Staifi,Rani Khayef Tesmah Fiya,5NzeYXiTsfYSyFce6v5gyG,2,0,-4.053,0.616,0.91,87.995,0.0536,0.19699999999999998,0.956
Blonde Redhead,Misery Is a Butterfly,6PEgUjWLGns3uMZuVTtrbj,9,0,-7.257000000000001,0.5479999999999999,0.39899999999999997,144.25,0.317,0.292,0.741
Candy Claws,Sun Arrow,085Sy5LiEB5RzxRROeSx7A,6,0,-9.751,0.223,0.15,107.929,0.0177,0.706,0.442
Stephen Bishop,Only The Heart Within You,2ZBVMSHjpuGYdZFrRUDLYm,5,1,-12.522,0.316,0.222,75.322,1.0199999999999999e-05,0.149,0.212
Johann Sebastian Bach,"Cello Suite No. 6 in D Major, BWV 1012: IV. Sarabande",3CH1vVxO97y2wOXtp8gPl4,2,1,-23.678,0.19399999999999998,0.13,88.056,0.893,0.115,0.0316
Judy Garland,That's All - 2006 Digital Remaster,3xNBxy8xMOznbJVxPW7Z9o,4,1,-13.769,0.16899999999999998,0.18,83.10799999999999,0.00011599999999999999,0.924,0.282
King Crimson,Inner Garden I,65YdPKNvax4ynBiYMLc4n2,3,0,-20.151,0.324,0.0745,139.675,4.26e-05,0.22,0.122
Robert Francis,Dangerous Neighborhood,2RMvPwozzoov79Ruw3jlPu,5,1,-7.106,0.434,0.302,171.977,0.000193,0.11900000000000001,0.547
Roy Black,Keiner weiß was morgen ist,1ogxJhJyvhPyiMQZKTv7L8,5,0,-11.225999999999999,0.312,0.272,103.59299999999999,0.0196,0.11800000000000001,0.39799999999999996
Steve Mason,Inside Games,7GTfQ4h51L0KUnwgygjsBk,9,0,-17.077,0.624,0.636,117.376,0.0012900000000000001,0.18600000000000003,0.406
Murciano Total,El rey caníbal,7bsMAjqNqFHvIbYYu6jLY7,7,1,-7.461,0.456,0.465,140.019,0.000233,0.161,0.855
Dimension,Crowd Reaction,5OBeK9rGsUq35Pv4RrLKCW,10,0,-1.66,0.583,0.52,173.99400000000003,0.455,0.516,0.897
Crazy Frog,1001 Nights,0CFkYQATRbNLMy6A3MPLTX,4,1,-5.236000000000001,0.7390000000000001,0.919,100.809,0.00343,0.638,0.9009999999999999
Ars Nova Singers,"R. Anthony Lee, O Oriens",7vAeiQ4S3IhZspL64rRGE2,11,1,-30.483,0.23,0.0361,96.27,0.991,0.0996,0.264
Mogwai,May Nothing But Happiness Come Through Your Door,1zfnGzGiPXlKo2U8wPXOE8,9,0,-13.294,0.47100000000000003,0.0376,99.616,0.867,0.49200000000000005,0.299
Throwing Muses,Half Blast,3ay2Ihnz5IkqkOvmTOxk2p,0,1,-7.784,0.273,0.0611,76.154,7.609999999999999e-05,0.22899999999999998,0.5770000000000001
Anaal Nathrakh,Procreation of the Wretched,6Tbxk64SuWjLxi6Ar4TKeN,1,1,-5.665,0.0577,0.0362,198.415,7.44e-05,0.0725,0.335
Marga Sol,Impossible Dream - Original Mix,36kVC2qZeXq4wS75SKLVQL,10,0,-5.162999999999999,0.7859999999999999,0.5870000000000001,94.999,1.23e-06,0.134,0.444
Huw Lloyd-Langton,5th Second Of Forever,3bUXaHLz5ivdCL6gmB7bP1,2,0,-18.593,0.555,0.198,103.32799999999999,0.8240000000000001,0.0954,0.0136
Capleton,Ton Load,2tMmcYxTUIQd4GksOSLqpV,9,0,-5.316,0.696,0.705,78.657,0.0,0.192,0.821
Francesco Landucci,Mantra Sansa,4qboRPt5viNvHDhfOsO326,1,0,-5.983,0.7929999999999999,0.29100000000000004,130.266,0.00908,0.161,0.535
Zach Berkman,Rumors Are True,5Ok56QqbGcMVQuEU0caqcw,5,1,-8.354,0.45799999999999996,0.317,81.752,0.00025,0.10800000000000001,0.402
Flinke Namen | QF,Niet Om Arrogant Te Doen (Remix),6lg1wWUNeERzAaTizxdHOZ,10,0,-6.6,0.691,0.753,132.501,4.51e-05,0.132,0.561
Johann Sebastian Bach,"Overture (Suite) No. 2 in B Minor, BWV 1067: IV. Bourre I and II",5xQfKFgbTRZaXgTFVNdEm8,11,0,-18.274,0.612,0.96,121.15,0.465,0.126,0.337
S'Albaida,Fandango polit,3gQW2poZbtgv6MMGCeYAlO,9,0,-6.835,0.731,0.895,104.943,0.0,0.0994,0.467
Kelli Scarr,I'll Always Wait,7BHPbkP49SVAvzJDzq4PuB,9,0,-7.792999999999999,0.371,0.188,113.20200000000001,0.113,0.0726,0.289
Akira,Wanna be with you - Radio Mix,2fa0UYXL4XFUdAXAFlQtHB,9,1,-8.605,0.532,0.483,141.039,0.0112,0.478,0.9570000000000001
Ween,Mister Richard Smoker - Live,7DTEz2moQmck1pvXYh37uB,0,1,-5.922999999999999,0.617,0.688,101.65799999999999,4.92e-06,0.738,0.821
The Merry Wives Of Windsor,My Dame A-Hedging,0mXPPrv1FNXxh7475dmF0X,7,1,-9.597999999999999,0.8190000000000001,0.638,65.827,0.0,0.0966,0.205
Television Personalities,Mummy Your Not Watching Me,5rRCY4CZSEuasQEiCZIzza,7,1,-9.887,0.608,0.919,111.486,1.18e-06,0.11199999999999999,0.722
DJ Rap,Drummin' N Bassin' - DJ Rap Original Mix,1G4SwnocaBQn7fSqCFWmh0,10,0,-8.837,0.7190000000000001,0.289,170.051,0.3,0.067,0.7709999999999999
twinbird,Naraku No Hana / [higurashi No Naku Koro Ni Kai]op,6oVXxfATZIUJFBLterIvNx,8,0,-18.859,0.21,0.0684,206.546,0.8959999999999999,0.174,0.24
Grant-Lee Phillips,Good Morning Happiness,1knRlru77gXbuSRAC2WWzr,9,1,-8.196,0.5589999999999999,0.735,108.272,4.54e-06,0.0887,0.579
Franz Schubert,"Winterreise, D. 911: X. Rast",7oJ8dLvhwGcI5v8Pbhq5Op,11,0,-25.103,0.41100000000000003,0.09699999999999999,98.213,0.0,0.0709,0.0119
Pluto Revolts,De Monstra / Collisions (Reprise),7yfuVLpBhcdceAD8CdLxWt,2,1,-4.039,0.5579999999999999,0.43799999999999994,119.999,0.772,0.316,0.943
Kreng,Monkey - Part 2,6BFxOyk5NIKklh5eRHZdvG,0,0,-14.833,0.254,0.12,134.471,0.889,0.14400000000000002,0.465
Der König tanzt,Nur für 1 Tag,4AgFnxuV6MeymlbvPI5Ig9,6,0,-2.9730000000000003,0.596,0.9329999999999999,173.988,0.000601,0.218,0.85
Alex Sayz,Free To Go - Stefano Noferini Club Mix,4fuv7FZ4oZbZ8dtj56xurO,2,0,-6.836,0.802,0.0662,128.028,0.787,0.0444,0.853
KB,Mr. Pretender,3LHmR1ruw3E2vgPQfXMZcV,2,1,-4.516,0.49,0.461,81.921,0.0,0.358,0.778
Lamps,Famous Chimps,5v1PyJ6FSNksECoYjk4auq,0,0,-6.164,0.0725,0.0391,182.105,0.956,0.39799999999999996,0.993
Luciano,Feel Like Moving,2vSIYnSce54DFpoyLBpQ7S,2,1,-9.142999999999999,0.644,0.78,182.972,1.09e-05,0.306,0.677
Royce Wood Junior,Valentine Virus Part Ii (Ode To Prod),4csngkLQPOWvhVBBqnHCik,7,1,-8.056000000000001,0.503,0.373,81.95200000000001,6.840000000000001e-05,0.375,0.555
Anabel Santiago,El mio barcu,2b9vlRH1R9yw2n9fH29RBn,0,1,-6.494,0.26899999999999996,0.523,75.031,0.0,0.192,0.311
X-Fusion,Stuprum Violentum,5Hev5RAMulL6OEkF53YXOh,5,0,-4.979,0.46299999999999997,0.17,139.995,0.456,0.369,0.986
The xx,Fiction (Marcus Worgull Remix),2JAYgfuqHX7MwlyumQmXpy,10,1,-11.811,0.813,0.647,117.999,0.88,0.0912,0.49700000000000005
Ridiculon,Abyss (The Depths),5bRMHM1UIiyUi62uWbcL2n,1,1,-23.436999999999998,0.4,0.079,189.679,0.8370000000000001,0.11,0.14
Tony Christie,(Is This The Way To) Amarillo - Single Version,1XpPRwdoReQGfgc8IBW0zO,9,1,-3.592,0.556,0.62,134.769,0.0,0.37200000000000005,0.878
Antonio Ganici,"Concerto in G Major for Two Mandolins, Strings & Organ, RV532: i. Allegro",4fjv37woRZoOPJkhg4k3nT,7,1,-18.211,0.562,0.722,95.87200000000001,0.8740000000000001,0.39,0.419
Karin Park,Tiger Dreams - D1 Remix Vocal,2hs3R6KxgUz4hlcRbTk9j0,2,0,-5.54,0.509,0.474,139.988,4.6299999999999994e-05,0.368,0.9440000000000001
Buchanan,Human Spring,5MWWh7UdLfaABxjNMbJUIF,7,1,-5.332000000000001,0.33399999999999996,0.187,146.054,0.00125,0.21,0.946
Metronomy,1 String Strung,0LzQAPwdu9t5u3IEOXcTgV,11,1,-5.02,0.852,0.575,143.026,0.547,0.0785,0.439
Debbie Deb,When I Hear Music,6bFGodepI4y7w4AJBcCB1E,1,1,-8.459,0.762,0.755,126.206,0.301,0.0495,0.757
Orange Goblin,Your World Will Hate This,7J89FOzsaxrcR32u3ndI6F,9,0,-4.948,0.408,0.441,107.024,0.000171,0.8079999999999999,0.956
Jawbox,Secret History,728kJg0aVgnSNqOUebMZLU,9,1,-14.835999999999999,0.243,0.483,177.875,5.86e-06,0.045,0.687
Peter Tosh,Why Must I Cry,14WxsHAhtGuLxpJjGhCD6c,7,1,-7.187,0.638,0.8690000000000001,80.49600000000001,1.01e-06,0.0821,0.727
Aloha From Hell,Can You Hear Me Boys,0VNt2gE5zH77AoAgG3D6xf,1,0,-4.9030000000000005,0.581,0.674,164.968,0.000557,0.321,0.9109999999999999
Bastille,Overjoyed - Detour City Redux,65In2beRdUoxJcvqSCacE4,9,0,-4.757,0.452,0.266,79.01100000000001,0.00441,0.267,0.703
Shark Attack,Second In Line At The Used Needle Exchange (Big Ears' Have You Seen This Beard Remix),4bjYbwwxqDbmryMi5J3FP6,1,1,-6.89,0.627,0.331,130.718,0.7959999999999999,0.095,0.475
